"id_empenho","id_minuta_empenho","numero_empenho","situacao_empenho","descricao_situacao_empenho","tipo_documento_empenho","descricao_tipo_documento_empenho","status_processamento_empenho","ug_responsavel_empenho","ug_emitente_empenho","descricao_ug_emitente_empenho","fonte_recurso_empenho","plano_interno_empenho","ptres_empenho","grupo_natureza_despesa_empenho","natureza_despesa_empenho","subitem_empenho","categoria_despesa_empenho","modalidade_despesa_empenho","cnpj_beneficiario_empenho","nome_beneficiario_empenho","uf_beneficiario_empenho","numero_ro_empenho","data_emissao_empenho","prioridade_desbloqueio_empenho","valor_empenho","id_plano_acao","codigo_ibge_municipio","codigo_ibge_uf"
"46920","2025NME000047826",,"1","Minuta de Empenho","1","Empenho Original","AGUARDANDO_GERACAO_EMPENHO","170860","170860","COORD. ANALISE E INF TRANS FIN INTERGOV/STN","1000000000","T.ESPECIAIS","252533","3","334041","07","CUSTEIO","40","13635008000176","MUNICIPIO DE SANTA CRUZ CABRALIA","BA",,"2025-07-29","49","237600","78182","2927705","29"
"47833","2025NME000048739","2025NE001295","4","Enviado","1","Empenho Original","ENVIADA","170860","170860","COORD. ANALISE E INF TRANS FIN INTERGOV/STN","1000000000","T.ESPECIAIS","252649","4","444041","07","INVESTIMENTO","40","14006977000120","MUNICIPIO DE CRUZ DAS ALMAS","BA","2025RO001368","2025-09-02","48","990000","76283","2909802","29"
"47953","2025NME000048859","2025NE000064","4","Enviado","1","Empenho Original","ENVIADA","170860","170860","COORD. ANALISE E INF TRANS FIN INTERGOV/STN","1000000000","T.ESPECIAIS","253289","4","444041","41","INVESTIMENTO","40","63786990000155","MUNICIPIO DE VALE DO PARAISO","RO","2025RO000137","2025-09-02","66","594000","75427","1101807","11"
"50454","2025NME000051360","2025NE000065","4","Enviado","1","Empenho Original","ENVIADA","170860","170860","COORD. ANALISE E INF TRANS FIN INTERGOV/STN","1000000000","T.ESPECIAIS","252897","4","444041","37","INVESTIMENTO","40","01612438000193","MUNICIPIO DE SANTA MARIA","RN","2025RO000138","2025-09-02","2","396000","79856","2409332","24"
"46974","2025NME000047880",,"1","Minuta de Empenho","1","Empenho Original","AGUARDANDO_GERACAO_EMPENHO","170860","170860","COORD. ANALISE E INF TRANS FIN INTERGOV/STN","1000000000","T.ESPECIAIS","253092","3","334041","07","CUSTEIO","40","13702238000100","MUNICIPIO DE BARRA DO MENDES","BA",,"2025-07-29","30","495000","78293","2903003","29"
"48105","2025NME000049011","2025NE000066","4","Enviado","1","Empenho Original","ENVIADA","170860","170860","COORD. ANALISE E INF TRANS FIN INTERGOV/STN","1000000000","T.ESPECIAIS","252844","4","444041","23","INVESTIMENTO","40","18413187000110","SANTA RITA DO ITUETO","MG","2025RO000139","2025-09-02","153","495000","75645","3159506","31"
"49494","2025NME000050400",,"1","Minuta de Empenho","1","Empenho Original","AGUARDANDO_GERACAO_EMPENHO","170860","170860","COORD. ANALISE E INF TRANS FIN INTERGOV/STN","1000000000","T.ESPECIAIS","252635","4","444041","07","INVESTIMENTO","40","16417792000134","MUNICIPIO DE SITIO DO MATO","BA",,"2025-07-29","10","1485000","78399","2930758","29"
"50345","2025NME000051251",,"1","Minuta de Empenho","1","Empenho Original","AGUARDANDO_GERACAO_EMPENHO","170860","170860","COORD. ANALISE E INF TRANS FIN INTERGOV/STN","1000000000","T.ESPECIAIS","252869","4","444041","05","INVESTIMENTO","40","22812960000199","APUÍ","AM",,"2025-07-29","38","1980000","79698","1300144","13"
"49610","2025NME000050516",,"1","Minuta de Empenho","1","Empenho Original","AGUARDANDO_GERACAO_EMPENHO","170860","170860","COORD. ANALISE E INF TRANS FIN INTERGOV/STN","1000000000","T.ESPECIAIS","253035","4","444041","07","INVESTIMENTO","40","13880703000101","MUNICIPIO DE BARRA","BA",,"2025-07-29","38","990000","78573","2902708","29"
"50446","2025NME000051352",,"1","Minuta de Empenho","1","Empenho Original","AGUARDANDO_GERACAO_EMPENHO","170860","170860","COORD. ANALISE E INF TRANS FIN INTERGOV/STN","1000000000","T.ESPECIAIS","252550","4","444041","35","INVESTIMENTO","40","28531762000133","ARARUAMA","RJ",,"2025-07-29","1437177","990000","79843","3300209","33"
"49618","2025NME000050524",,"1","Minuta de Empenho","1","Empenho Original","AGUARDANDO_GERACAO_EMPENHO","170860","170860","COORD. ANALISE E INF TRANS FIN INTERGOV/STN","1000000000","T.ESPECIAIS","252890","4","444041","19","INVESTIMENTO","40","03533064000146","MUNICIPIO DE CUIABA","MT",,"2025-07-29","21","4690612.08","78598","5103403","51"
