"id_historico_op_ob","data_hora_historico_op","historico_situacao_op","descricao_historico_situacao_op","id_op_ob"
153006,"2025-09-09T15:29:58.710808",5,"OB Enviada à instituição bancária para pagamento",39792
154664,"2025-09-11T16:46:49.075998",1,"Aguardando Envio para o SIAFI",42119
156303,"2025-09-11T17:32:06.309576",3,"Aguardando assinaturas do ordenador de despesas e/ou gestor financeiro",42119
158093,"2025-09-11T19:29:58.484677",4,"OP Assinada mas sem OB gerada",42119
159118,"2025-09-12T08:29:59.802645",5,"OB Enviada à instituição bancária para pagamento",42119
147331,"2025-09-09T09:20:34.144939",1,"Aguardando Envio para o SIAFI",40284
150031,"2025-09-09T10:53:24.953839",3,"Aguardando assinaturas do ordenador de despesas e/ou gestor financeiro",40284
153519,"2025-09-09T15:29:58.710808",5,"OB Enviada à instituição bancária para pagamento",40284
148250,"2025-09-09T09:20:34.144939",1,"Aguardando Envio para o SIAFI",41203
150950,"2025-09-09T11:44:37.510703",3,"Aguardando assinaturas do ordenador de despesas e/ou gestor financeiro",41203
151543,"2025-09-09T15:29:58.710808",5,"OB Enviada à instituição bancária para pagamento",41203
155568,"2025-09-11T16:46:49.075998",1,"Aguardando Envio para o SIAFI",43023
157207,"2025-09-11T18:51:09.625248",3,"Aguardando assinaturas do ordenador de despesas e/ou gestor financeiro",43023
158839,"2025-09-11T20:29:58.483031",4,"OP Assinada mas sem OB gerada",43023
159473,"2025-09-12T08:29:59.802645",5,"OB Enviada à instituição bancária para pagamento",43023
154667,"2025-09-11T16:46:49.075998",1,"Aguardando Envio para o SIAFI",42122
156306,"2025-09-11T17:32:15.374104",3,"Aguardando assinaturas do ordenador de despesas e/ou gestor financeiro",42122
157871,"2025-09-11T19:00:00.746328",4,"OP Assinada mas sem OB gerada",42122
159294,"2025-09-12T08:29:59.802645",5,"OB Enviada à instituição bancária para pagamento",42122
148095,"2025-09-09T09:20:34.144939",1,"Aguardando Envio para o SIAFI",41048
150795,"2025-09-09T11:35:50.767325",3,"Aguardando assinaturas do ordenador de despesas e/ou gestor financeiro",41048
154121,"2025-09-09T15:29:58.710808",5,"OB Enviada à instituição bancária para pagamento",41048
147332,"2025-09-09T09:20:34.144939",1,"Aguardando Envio para o SIAFI",40285
150032,"2025-09-09T10:53:27.920374",3,"Aguardando assinaturas do ordenador de despesas e/ou gestor financeiro",40285
153520,"2025-09-09T15:29:58.710808",5,"OB Enviada à instituição bancária para pagamento",40285
154901,"2025-09-11T16:46:49.075998",1,"Aguardando Envio para o SIAFI",42356
156540,"2025-09-11T17:44:48.257114",3,"Aguardando assinaturas do ordenador de despesas e/ou gestor financeiro",42356
158215,"2025-09-11T19:29:58.484677",4,"OP Assinada mas sem OB gerada",42356
159974,"2025-09-12T08:29:59.802645",5,"OB Enviada à instituição bancária para pagamento",42356
146831,"2025-09-09T09:20:34.144939",1,"Aguardando Envio para o SIAFI",39784
149531,"2025-09-09T10:26:07.228376",3,"Aguardando assinaturas do ordenador de despesas e/ou gestor financeiro",39784
153055,"2025-09-09T15:29:58.710808",5,"OB Enviada à instituição bancária para pagamento",39784
146309,"2025-09-09T09:20:34.144939",1,"Aguardando Envio para o SIAFI",39262
149009,"2025-09-09T09:55:58.375209",3,"Aguardando assinaturas do ordenador de despesas e/ou gestor financeiro",39262
151520,"2025-09-09T14:29:58.763536",4,"OP Assinada mas sem OB gerada",39262
152041,"2025-09-09T15:29:58.710808",5,"OB Enviada à instituição bancária para pagamento",39262
147873,"2025-09-09T09:20:34.144939",1,"Aguardando Envio para o SIAFI",40826
150573,"2025-09-09T11:23:31.44413",3,"Aguardando assinaturas do ordenador de despesas e/ou gestor financeiro",40826
154080,"2025-09-09T15:29:58.710808",5,"OB Enviada à instituição bancária para pagamento",40826
146191,"2025-09-09T09:20:34.144939",1,"Aguardando Envio para o SIAFI",39144
148891,"2025-09-09T09:49:45.402018",3,"Aguardando assinaturas do ordenador de despesas e/ou gestor financeiro",39144
151485,"2025-09-09T14:29:58.763536",5,"OB Enviada à instituição bancária para pagamento",39144
146843,"2025-09-09T09:20:34.144939",1,"Aguardando Envio para o SIAFI",39796
149543,"2025-09-09T10:26:44.781055",3,"Aguardando assinaturas do ordenador de despesas e/ou gestor financeiro",39796
152945,"2025-09-09T15:29:58.710808",5,"OB Enviada à instituição bancária para pagamento",39796
145965,"2025-09-09T09:20:34.144939",1,"Aguardando Envio para o SIAFI",38918
148665,"2025-09-09T09:37:45.862118",3,"Aguardando assinaturas do ordenador de despesas e/ou gestor financeiro",38918
152213,"2025-09-09T15:29:58.710808",5,"OB Enviada à instituição bancária para pagamento",38918
155169,"2025-09-11T16:46:49.075998",1,"Aguardando Envio para o SIAFI",42624
156808,"2025-09-11T17:59:03.237255",3,"Aguardando assinaturas do ordenador de despesas e/ou gestor financeiro",42624
158518,"2025-09-11T19:29:58.484677",4,"OP Assinada mas sem OB gerada",42624
160529,"2025-09-12T08:29:59.802645",5,"OB Enviada à instituição bancária para pagamento",42624
147176,"2025-09-09T09:20:34.144939",1,"Aguardando Envio para o SIAFI",40129
149876,"2025-09-09T10:44:55.098383",3,"Aguardando assinaturas do ordenador de despesas e/ou gestor financeiro",40129
153303,"2025-09-09T15:29:58.710808",5,"OB Enviada à instituição bancária para pagamento",40129
146829,"2025-09-09T09:20:34.144939",1,"Aguardando Envio para o SIAFI",39782
149529,"2025-09-09T10:26:01.069313",3,"Aguardando assinaturas do ordenador de despesas e/ou gestor financeiro",39782
153068,"2025-09-09T15:29:58.710808",5,"OB Enviada à instituição bancária para pagamento",39782
147376,"2025-09-09T09:20:34.144939",1,"Aguardando Envio para o SIAFI",40329
150076,"2025-09-09T10:55:52.015424",3,"Aguardando assinaturas do ordenador de despesas e/ou gestor financeiro",40329
153265,"2025-09-09T15:29:58.710808",5,"OB Enviada à instituição bancária para pagamento",40329
147940,"2025-09-09T09:20:34.144939",1,"Aguardando Envio para o SIAFI",40893
150640,"2025-09-09T11:27:16.337411",3,"Aguardando assinaturas do ordenador de despesas e/ou gestor financeiro",40893
152101,"2025-09-09T15:29:58.710808",5,"OB Enviada à instituição bancária para pagamento",40893
161907,"2025-09-29T18:27:55.048297",1,"Aguardando Envio para o SIAFI",43583
162561,"2025-09-29T19:03:47.43299",3,"Aguardando assinaturas do ordenador de despesas e/ou gestor financeiro",43583
147374,"2025-09-09T09:20:34.144939",1,"Aguardando Envio para o SIAFI",40327
150074,"2025-09-09T10:55:45.1798",3,"Aguardando assinaturas do ordenador de despesas e/ou gestor financeiro",40327
153263,"2025-09-09T15:29:58.710808",5,"OB Enviada à instituição bancária para pagamento",40327
155014,"2025-09-11T16:46:49.075998",1,"Aguardando Envio para o SIAFI",42469
156653,"2025-09-11T17:50:54.761766",3,"Aguardando assinaturas do ordenador de despesas e/ou gestor financeiro",42469
158382,"2025-09-11T19:29:58.484677",4,"OP Assinada mas sem OB gerada",42469
159767,"2025-09-12T08:29:59.802645",5,"OB Enviada à instituição bancária para pagamento",42469
147372,"2025-09-09T09:20:34.144939",1,"Aguardando Envio para o SIAFI",40325
150072,"2025-09-09T10:55:38.640025",3,"Aguardando assinaturas do ordenador de despesas e/ou gestor financeiro",40325
153506,"2025-09-09T15:29:58.710808",5,"OB Enviada à instituição bancária para pagamento",40325
147902,"2025-09-09T09:20:34.144939",1,"Aguardando Envio para o SIAFI",40855
150602,"2025-09-09T11:25:08.869576",3,"Aguardando assinaturas do ordenador de despesas e/ou gestor financeiro",40855
152074,"2025-09-09T15:29:58.710808",5,"OB Enviada à instituição bancária para pagamento",40855
161909,"2025-09-29T18:27:55.048297",1,"Aguardando Envio para o SIAFI",43585
162563,"2025-09-29T19:03:55.580841",3,"Aguardando assinaturas do ordenador de despesas e/ou gestor financeiro",43585
146928,"2025-09-09T09:20:34.144939",1,"Aguardando Envio para o SIAFI",39881
149628,"2025-09-09T10:31:22.55686",3,"Aguardando assinaturas do ordenador de despesas e/ou gestor financeiro",39881
152979,"2025-09-09T15:29:58.710808",5,"OB Enviada à instituição bancária para pagamento",39881
147379,"2025-09-09T09:20:34.144939",1,"Aguardando Envio para o SIAFI",40332
150079,"2025-09-09T10:56:01.420124",3,"Aguardando assinaturas do ordenador de despesas e/ou gestor financeiro",40332
153436,"2025-09-09T15:29:58.710808",5,"OB Enviada à instituição bancária para pagamento",40332
154949,"2025-09-11T16:46:49.075998",1,"Aguardando Envio para o SIAFI",42404
156588,"2025-09-11T17:47:28.253826",3,"Aguardando assinaturas do ordenador de despesas e/ou gestor financeiro",42404
158318,"2025-09-11T19:29:58.484677",4,"OP Assinada mas sem OB gerada",42404
160209,"2025-09-12T08:29:59.802645",5,"OB Enviada à instituição bancária para pagamento",42404
147394,"2025-09-09T09:20:34.144939",1,"Aguardando Envio para o SIAFI",40347
150094,"2025-09-09T10:56:48.521918",3,"Aguardando assinaturas do ordenador de despesas e/ou gestor financeiro",40347
153509,"2025-09-09T15:29:58.710808",5,"OB Enviada à instituição bancária para pagamento",40347
147378,"2025-09-09T09:20:34.144939",1,"Aguardando Envio para o SIAFI",40331
150078,"2025-09-09T10:55:58.285608",3,"Aguardando assinaturas do ordenador de despesas e/ou gestor financeiro",40331
153203,"2025-09-09T15:29:58.710808",5,"OB Enviada à instituição bancária para pagamento",40331
155687,"2025-09-11T16:46:49.075998",1,"Aguardando Envio para o SIAFI",43142
